,email
0,ext.ergon@escolas.min-edu.pt
1,ext.parque@escolas.min-edu.pt
2,ext.sjose@escolas.min-edu.pt
3,ext.acaravela@escolas.min-edu.pt
4,ext.acandeia@escolas.min-edu.pt
5,ep.tplisboa@escolas.min-edu.pt
6,direcao@esrda.edu.gov.pt
7,servicos@esrda.edu.gov.pt
8,direcao@espn.edu.gov.pt
9,servicos@espn.edu.gov.pt
10,direcao@esmpombal.edu.gov.pt
11,servicos@esmpombal.edu.gov.pt
12,direcao@esmcarvalho.edu.gov.pt
13,servicos@esmcarvalho.edu.gov.pt
14,direcao@esfbenevides.edu.gov.pt
15,servicos@esfbenevides.edu.gov.pt
16,direcao@escamoes.edu.gov.pt
17,servicos@escamoes.edu.gov.pt
18,esc.raiz@escolas.min-edu.pt
19,ep.pbarcelos@escolas.min-edu.pt
20,cs.scoracaojesus@escolas.min-edu.pt
21,csp.sspedreira@escolas.min-edu.pt
22,geral@cpsjbrito.com
23,csp.nsenhoraamparo@escolas.min-edu.pt
24,csp.calharizbenfica@escolas.min-edu.pt
25,csp.carnide@escolas.min-edu.pt
26,cs.meninodeus@escolas.min-edu.pt
27,cp.bemestaralfama@escolas.min-edu.pt
28,ct.mformacao@escolas.min-edu.pt
29,ji.arroios@escolas.min-edu.pt
30,ji.paulovi@escolas.min-edu.pt
31,ji.fmcroquepereira@escolas.min-edu.pt
32,ji.anjos@escolas.min-edu.pt
33,jv.centroparoquialcacem@gmail.com
34,cs.baptista@escolas.min-edu.pt
35,geral@csbaptista.pt
36,ofarolmassama@escolas.min-edu.pt
37,ji.obarcodomimo@escolas.min-edu.pt
38,geral@gizmagico.pt
39,ji.gentepequena@escolas.min-edu.pt
40,ji.cspsmartacasalcambra@escolas.min-edu.pt
41,recursos.humanos@misericordiadesintra.pt
42,ji.cosmeedamiao@escolas.min-edu.pt
43,geral@cbesq.pt
44,ji.castelomagico@escolas.min-edu.pt
45,ct.itpedagogico@escolas.min-edu.pt
46,ct.apsjoaolampas@escolas.min-edu.pt
47,cecd@escolas.min-edu.pt
48,fcaischooloflisbon@escolas.min-edu.pt
49,belourinha@escolas.min-edu.pt
50,secretaria@colegiodabeloura.pt
51,ass.promotoracrianca@escolas.min-edu.pt
52,colegioverdeagua@sapo.pt
53,ji.verdeagua@escolas.min-edu.pt
54,ji.steresinhadejesus@escolas.min-edu.pt
55,ji.oscaramelos@escolas.min-edu.pt
56,ji.aescolinhadospequenitos@escolas.min-edu.pt
57,direcao@esjs-mafra.edu.gov.pt
58,servicos@esjs-mafra.edu.gov.pt
59,ep.mafra@escolas.min-edu.pt
60,cl.standre@escolas.min-edu.pt
61,cl.miramar@escolas.min-edu.pt
62,ji.obambi@escolas.min-edu.pt
63,je.ocebolinha@escolas.min-edu.pt
64,je.monteflor@escolas.min-edu.pt
65,ji.osnossostemposlivres@escolas.min-edu.pt
66,ji.onossomiminho@escolas.min-edu.pt
67,geral@csagradafamilia.pt
68,teresa.peraboa@csagradafamilia.pt
69,ji.canteirosonhos@escolas.min-edu.pt
70,jardimestrelinhas@escolas.min-edu.pt
71,it.espanhollisboa@escolas.min-edu.pt
72,direccao@graosdegente.pt
73,ext.stacatarina@escolas.min-edu.pt
74,ext.obalaoazul@escolas.min-edu.pt
75,ext.apalmeirinha@escolas.min-edu.pt
76,ext.pantoniovieira@escolas.min-edu.pt
77,ext.novaoeiras@escolas.min-edu.pt
78,ext.alfabeta@escolas.min-edu.pt
79,ext.aminhaescola@escolas.min-edu.pt
80,direcao@esqmarques.edu.gov.pt
81,servicos@esqmarques.edu.gov.pt
82,ep.valriooeiras@escolas.min-edu.pt
83,escoladoarco@escolas.min-edu.pt
84,esc.musicansracabo@escolas.min-edu.pt
85,cre.1demaio@escolas.min-edu.pt
86,secretaria@osmmac.org
87,cji.smarcal@escolas.min-edu.pt
88,cienciaactiva@escolas.min-edu.pt
89,cl.santiago@escolas.min-edu.pt
90,cl.sfranciscoassis@escolas.min-edu.pt
91,cl.osfilhotes@escolas.min-edu.pt
92,cl.osbobocas@escolas.min-edu.pt
93,cl.flordalinha@escolas.min-edu.pt
94,cl.giope@escolas.min-edu.pt
95,cl.osgordinhos@escolas.min-edu.pt
96,cl.fonte@escolas.min-edu.pt
97,cs.pnsraconceicao@escolas.min-edu.pt
98,geral@cspbarcarena.pt
99,ci.traquinas@escolas.min-edu.pt
100,ji.oreinabarrigainfantado@escolas.min-edu.pt
101,ji.oreinabarriga@escolas.min-edu.pt
102,ji.cspmoscavide@escolas.min-edu.pt
103,ji.cssacavem@escolas.min-edu.pt
104,ji.fonsrapurificacao@escolas.min-edu.pt
105,ji.assvidaabundante@escolas.min-edu.pt
106,carlabatista@lpm-loures.com
107,ji.osaltarico@escolas.min-edu.pt
108,ji.orsacavaleiros@escolas.min-edu.pt
109,cadrimar.fraldinhas@gmail.com
110,ji.onossomundo@escolas.min-edu.pt
111,ji.nossasradosanjos@escolas.min-edu.pt
112,ji.quintarolaii@escolas.min-edu.pt
113,ji.oscachoeirinhos@escolas.min-edu.pt
114,oscachoeirinhos21@gmail.com
115,iasfbucelas@iol.pt
116,ji.azulerosa@escolas.min-edu.pt
117,ji.lili@escolas.min-edu.pt
118,it.ptransportes@escolas.min-edu.pt
119,ext.quintinha@escolas.min-edu.pt
120,ext.pinfantilloures@escolas.min-edu.pt
121,ext.florbelaespanca@escolas.min-edu.pt
122,acrianca@escolas.min-edu.pt
123,direcao@escamarate.edu.gov.pt
124,servicos@escamarate.edu.gov.pt
125,geral@crevide.pt
126,cre.catujal@escolas.min-edu.pt
127,cva.loures@escolas.min-edu.pt
128,cl.quintadaparreirinha@escolas.min-edu.pt
129,cl.pedroarrupe@escolas.min-edu.pt
130,cl.imontemaior@escolas.min-edu.pt
131,cl.oriente@escolas.min-edu.pt
132,ext.bartolomeudias@escolas.min-edu.pt
133,centrosocialnap@gmail.com
134,ct.nascerdosol@escolas.min-edu.pt
135,cdinfancia@cecssac.pt
136,geral@associacaodrjoaodossantos.pt
137,ass.ccpriorvelho@escolas.min-edu.pt
138,geral@cpcl.pt
139,ji.marteleira@cpcl.pt
140,ji.scmlourinha@escolas.min-edu.pt
141,teresa.barradas@scmlourinha.pt
142,ass.opetiz@escolas.min-edu.pt
143,direcao.petiz@gmail.com
144,adapecil@escolas.min-edu.pt
145,quitinhadacebi@escolas.min-edu.pt
146,ji.maepatinha@escolas.min-edu.pt
147,ji.estreladomar@escolas.min-edu.pt
148,ji.pasocial@escolas.min-edu.pt
149,geral@csericeira.pt
150,s.c.m.m@scmmafra.pt
151,cl.manuelbernardes@escolas.min-edu.pt
152,cl.lusosuico@escolas.min-edu.pt
153,aisagres@aisagres.pt
154,cl.eduardoclaparede@escolas.min-edu.pt
155,cl.arcos@escolas.min-edu.pt
156,cl.scmarialisboa@escolas.min-edu.pt
157,cl.largo@escolas.min-edu.pt
158,cl.bomsucesso@escolas.min-edu.pt
159,cl.stadoroteia@escolas.min-edu.pt
160,cl.sjoaobrito@escolas.min-edu.pt
161,cl.stamarialisboa@escolas.min-edu.pt
162,cl.stomaslumiar@escolas.min-edu.pt
163,academia@acordarte.pt
164,acm.stacecilialisboa@escolas.min-edu.pt
165,ac.amadoresmusica@escolas.min-edu.pt
166,ac.comercialtecla@escolas.min-edu.pt
167,ainfantilstambelem@escolas.min-edu.pt
168,apros@escolas.min-edu.pt
169,appacdmlisboa@escolas.min-edu.pt
170,geral.sdl@sapo.pt
171,secretaria@centrosscj.com
172,ji.csppenhafranca@escolas.min-edu.pt
173,ji.cspnsraencarnacao@escolas.min-edu.pt
174,cspnsa@netcabo.pt
175,coordenacao@infantariodapena.pt
176,ji.csppena@escolas.min-edu.pt
177,ji.cpsvicentepaulo@escolas.min-edu.pt
178,ji.cpsmkolbe@escolas.min-edu.pt
179,direccao@sdomingos.net
180,ji.cscasalventoso@escolas.min-edu.pt
181,ji.cpsteugenio@escolas.min-edu.pt
182,cai.vermelha@scml.pt
183,ext.crisfal@escolas.min-edu.pt
184,ext.asdescobertas@escolas.min-edu.pt
