,email
1,gnr@gnr.pt
2,cg.gabcg@gnr.pt
3,2cdmtgeral@gnr.pt
4,inspgeral@gnr.pt
5,djd@gnr.pt
6,dperi@gnr.pt
7,dcrp@gnr.pt
8,cg.sg@gnr.pt
9,revista@gnr.pt
10,arquivomuseu@gnr.pt
11,co@gnr.pt
12,co.ccco@gnr.pt
13,co.do@gnr.pt
14,co.di@gnr.pt
15,co.dic@gnr.pt
16,co.dsepna@gnr.pt
17,co.dcsi@gnr.pt
18,cari@gnr.pt
19,cari.sar@gnr.pt
20,car.drh@gnr.pt
21,cari.drf@gnr.pt
22,cari.drl@gnr.pt
23,cari.die@gnr.pt
24,cari.dsad@gnr.pt
25,cdf@gnr.pt
26,cdf.dd@gnr.pt
27,cdf.df@gnr.pt
28,cari.uag@gnr.pt
29,ct.avr@gnr.pt
30,ct.bja@gnr.pt
31,ct.brg@gnr.pt
32,ct.bgc@gnr.pt
33,ct.ctb@gnr.pt
34,ct.cbr@gnr.pt
35,ct.far@gnr.pt
36,ct.far.dfar.polh@gnr.pt
37,ct.far.dfar.psba@gnr.pt
38,ct.far.dlle@gnr.pt
39,ct.far.dlle.plle@gnr.pt
40,ct.far.dlle.pqrt@gnr.pt
41,ct.far.dlle.pslr@gnr.pt
42,ct.far.dlle.pvlm@gnr.pt
43,ct.far.dptm.pajz@gnr.pt
44,ct.far.dptm.plgs@gnr.pt
45,ct.far.dptm.pvlb@gnr.pt
46,ct.far.dslv.psbm@gnr.pt
47,ct.far.dtvr.pact@gnr.pt
48,ct.far.dtvr.pctm@gnr.pt
49,ct.far.dtvr.pmrl@gnr.pt
50,ct.far.dtvr.pvra@gnr.pt
51,ct.grd@gnr.pt
52,ct.lra@gnr.pt
53,ct.lsb@gnr.pt
54,ct.ptg@gnr.pt
55,ct.prt@gnr.pt
56,ct.prt.dmts.ppvz@gnr.pt
57,ct.prt.dmts.pvlc@gnr.pt
58,ct.prt.dsts.psts@gnr.pt
59,ct.prt.dsts.ptrf@gnr.pt
60,ct.prt.dsts.pvlg@gnr.pt
61,ct.prt.dsts.pvla@gnr.pt
62,ct.prt.dvng.pmds@gnr.pt
63,ct.str@gnr.pt
64,ct.stb@gnr.pt
65,ct.stb.dalm.pfrf@gnr.pt
66,ct.stb.dalm.pppr@gnr.pt
67,ct.stb.dgdl@gnr.pt
68,ct.stb.dgdl.pasl@gnr.pt
69,ct.stb.dgdl.pazb@gnr.pt
70,ct.stb.dgdl.pcmp@gnr.pt
71,ct.stb.dgdl.pgdl@gnr.pt
72,ct.stb.dgdl.ptrr@gnr.pt
73,ct.stb.dmtj.pcnh@gnr.pt
74,ct.stb.dstc@gnr.pt
75,ct.stb.dstc.pstc@gnr.pt
76,ct.stb.dstb.pafr@gnr.pt
77,ct.stb.dstb.pvna@gnr.pt
78,ct.stb.dstb.pqdc@gnr.pt
79,ct.stb.dstb.pssb@gnr.pt
80,ct.stb.dstb.pplm@gnr.pt
81,ct.vct@gnr.pt
82,ct.vrl@gnr.pt
83,ct.vis@gnr.pt
84,ct.acr@gnr.pt
85,ct.mad@gnr.pt
86,ucc@gnr.pt
87,uaf@gnr.pt
88,unt@gnr.pt
89,ushe@gnr.pt
90,ui@gnr.pt
91,eg@gnr.pt
92,eg.cfff@gnr.pt
93,eg.aptg@gnr.pt
